value,id,display_value
27.95,AT,27.95 %
17.84,BE,17.84 %
8.88,BG,8.88 %
19.25,HR,19.25 %
31.52,CY,31.52 %
13.18,CZ,13.18 %
70.12,DK,70.12 %
15.61,EE,15.61 %
31.45,FI,31.45 %
25.28,FR,25.28 %
19.52,DE,19.52 %
55.08,GR,55.08 %
6.02,HU,6.02 %
32.47,IS,32.47 %
20.72,IE,20.72 %
8.16,IT,8.16 %
11.49,LV,11.49 %
6.85,LT,6.85 %
28.31,LU,28.31 %
51.20,MT,51.2 %
24.15,NL,24.15 %
50.46,NO,50.46 %
14.10,PL,14.1 %
30.77,PT,30.77 %
7.29,RO,7.29 %
9.05,SK,9.05 %
37.33,SI,37.33 %
14.29,ES,14.29 %
69.38,SE,69.38 %
#REF!,GB,25.3 % (England only)
